ID	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29
miR-149*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0
miR-150	23	51	44	105	24	8	0	100	47	39	28	183	206	557	14	298	293	907	232	174	821	125	109	28	3	348	181	26	1	5	1518	156	30	130	2	368	3	74	74	21	1273	12	1041	404	13	1758	76	7069	3	1282	4	2416	1	26	354	1099	13	207
miR-150*	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	2	2	2	1	1	0	0	0	0	2	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	5	2	0	0	0	3	1	3	0	1	0	1	0	0	0	0
miR-151-3p	22	44	82	146	49	11	0	107	13	156	101	184	214	59	9	821	848	756	660	643	256	876	60	117	63	572	103	85	0	23	262	82	25	159	18	67	16	23	39	13	72	44	1981	106	54	248	4	188	7	1612	13	313	2	556	103	292	25	0
miR-151-5p	275	615	478	3177	338	46	28	2985	249	2294	1650	3791	3560	914	35	6981	9188	7879	13688	7532	3952	13879	1382	2228	405	15144	3086	881	78	94	2050	469	86	1087	108	117	44	188	512	106	775	280	11367	1390	145	714	54	2108	317	12053	86	2953	74	1509	784	1486	223	52
miR-152	15	48	40	211	54	4	1	25	2	50	94	136	60	21	2	164	267	344	602	77	61	138	36	29	2	674	49	7	2	15	103	14	9	17	2	30	0	9	6	9	22	11	528	14	1	23	1	40	1	719	2	108	1	6	33	85	0	2
miR-153	0	0	2	8	1	0	0	1	0	3	9	8	2	2	0	7	45	16	28	3	13	13	1	6	2	27	23	0	0	0	11	0	0	1	0	1	0	2	1	1	1	0	15	0	0	7	0	5	0	18	0	1	0	2	1	2	0	0
miR-154	1	6	2	12	6	0	0	5	1	5	10	7	3	5	0	3	32	22	25	13	14	19	1	3	0	34	7	1	0	2	3	0	0	2	1	0	0	2	0	6	10	0	55	6	0	4	0	12	0	91	0	11	0	0	4	5	0	0
miR-154*	0	0	2	5	1	1	0	3	0	5	0	2	1	0	0	4	19	10	7	6	2	4	0	0	0	7	1	0	3	1	1	0	1	0	0	0	0	2	1	0	5	1	9	2	0	1	0	7	0	24	0	4	0	0	0	4	0	0
miR-155	4	3	13	33	9	1	1	22	6	34	19	32	17	9	0	60	85	200	137	68	48	38	28	10	0	183	49	24	1	42	312	1289	14	742	6	218	1	48	23	13	203	14	652	14	14	838	28	1076	0	1574	0	80	0	287	160	521	6	37
miR-155*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
miR-15a	92	28	407	336	75	3	4	148	727	202	126	990	689	1043	107	641	1116	3027	823	752	567	413	276	199	53	2653	273	88	17	234	1356	582	48	562	4	540	2	244	34	24	1509	43	8839	277	38	2458	152	2667	0	3755	5	605	20	727	3288	1508	4	364
miR-15a*	0	0	3	3	2	1	0	2	2	2	2	3	3	0	1	4	3	5	6	2	0	2	0	0	0	28	1	4	0	2	5	8	0	7	0	12	0	2	0	0	1	2	79	0	1	3	1	7	0	30	0	6	1	18	9	15	0	0
miR-15b	101	127	375	1283	55	13	6	837	3621	1747	188	1078	1046	3584	353	3218	4633	7061	4457	2343	7123	2127	1054	298	121	4773	1989	701	73	453	12388	1165	332	956	19	532	14	1710	280	166	5434	254	23398	1506	244	6051	844	14854	2	12993	47	2905	37	1433	6060	17368	98	3014
miR-15b*	0	0	2	4	1	0	0	12	38	13	1	6	6	7	4	20	8	33	14	13	2	5	16	0	1	14	13	7	0	2	23	9	3	8	1	1	0	10	0	1	5	4	156	4	2	21	6	16	0	106	0	2	1	2	4	38	0	0
miR-16	177	70	643	1292	78	13	2	310	839	525	204	1445	1717	823	120	1676	2174	5355	2393	1554	1756	1295	430	273	33	4401	847	147	36	412	4243	1434	155	1130	17	484	2	304	127	48	1635	81	15076	488	43	1668	169	5202	0	10406	10	760	46	524	2349	4906	16	1422
miR-16-1*	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	9	0	2	0	1	0	1	0	0
miR-16-2*	4	0	2	25	1	4	0	13	35	9	8	15	14	39	4	39	65	106	96	32	48	43	31	4	0	87	32	15	1	2	72	14	1	6	1	2	0	5	0	2	24	9	978	78	6	127	5	141	0	823	1	31	1	2	17	127	1	2
miR-17	25	19	82	39	38	15	2	10	51	40	39	17	27	3	9	19	7	18	26	15	1	21	23	24	3	20	21	20	2	32	12	117	77	281	0	7	1	8	3	4	6	4	91	19	2	2	3	6	2	50	1	44	1	63	3	4	0	8
miR-17*	12	0	56	59	23	1	1	169	47	179	59	121	141	42	10	209	207	173	238	336	96	617	137	83	122	915	86	125	18	5	147	196	13	555	4	7	16	32	22	6	41	38	1038	87	16	41	7	135	23	575	11	242	4	1568	161	126	14	8
miR-181a	22	25	94	323	48	23	4	226	46	614	100	417	341	194	13	1274	1236	1058	2432	826	8907	2525	442	149	97	4104	746	304	10	351	1667	428	140	429	83	697	32	209	198	20	496	222	7065	515	48	664	105	3546	13	11252	22	1758	18	477	1572	3583	39	9
miR-181a*	0	103	0	5	1	0	0	8	0	8	3	10	2	5	1	9	18	31	8	8	43	7	10	0	0	30	10	4	0	3	14	4	1	2	0	3	0	2	0	0	6	3	38	0	0	29	1	29	1	46	0	6	0	3	8	11	0	3
miR-181a-2*	1	2	0	2	0	0	0	0	0	6	0	1	0	3	0	3	9	2	5	10	15	6	4	0	0	10	0	1	5	1	4	0	0	0	0	0	0	1	1	0	1	0	11	0	1	2	0	3	0	9	0	4	0	2	3	2	0	0
miR-181b	0	2	15	13	6	4	0	16	3	31	9	59	27	31	0	47	174	89	133	87	183	133	37	9	4	231	46	18	1	45	62	55	27	62	1	34	2	25	1	3	42	3	731	84	12	112	4	105	0	1744	1	35	2	26	39	118	1	0
miR-181c	3	2	4	13	2	1	0	17	0	29	6	64	55	53	0	33	104	37	62	79	369	180	19	9	4	322	39	5	3	20	482	20	7	6	2	82	2	33	5	0	126	4	99	25	4	156	4	363	0	168	0	410	0	192	110	292	3	13
miR-181c*	1	0	0	0	1	0	0	2	0	5	1	5	0	2	0	4	8	5	8	5	2	16	3	0	6	34	3	2	2	1	3	4	0	2	0	0	0	0	0	0	3	0	3	1	0	2	0	3	0	8	0	9	0	25	3	2	0	0
miR-181d	0	0	2	10	2	1	0	3	0	3	2	10	1	2	0	4	22	10	26	6	5	21	4	0	0	44	11	0	0	2	4	2	0	0	0	2	1	0	0	0	4	0	11	2	1	2	0	5	0	42	0	5	0	16	5	7	0	0
miR-182	1	2	5	6	1	1	1	16	42	36	1	4	9	77	22	16	12	36	79	30	184	45	88	0	4	146	43	32	0	40	235	21	20	33	0	61	0	267	0	1	121	8	672	21	5	222	20	135	11	509	0	1210	0	308	295	167	4	0
miR-182*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
miR-183	0	0	0	1	1	0	0	6	23	19	3	2	11	8	1	2	1	7	11	9	30	7	14	0	5	21	6	5	0	18	36	6	6	4	0	6	0	54	0	0	26	2	192	5	2	33	6	21	2	113	2	142	0	169	47	30	3	0
miR-183*	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	1	0	2	0	5	0	0	0	1	6	0	0	0	2	2	5	2	9	0	2	0	8	0	0	6	5	51	4	0	11	2	6	0	33	1	7	0	54	18	11	1	0
miR-184	0	0	0	0	0	0	0	5	0	5	0	0	0	1	0	2	16	1	0	27	22	138	1	0	0	17	4	0	0	0	97	1	0	1	0	0	0	2	16	0	1	5	8	95	0	0	0	12	2	3	1	10	0	0	3	4	0	0
miR-185	38	104	65	236	62	4	8	86	800	118	27	308	242	134	41	258	281	1659	3434	317	363	298	291	50	26	2349	326	100	1	71	633	414	53	393	24	225	22	166	63	3	119	191	8894	232	70	241	31	823	108	9447	19	1130	32	1394	662	954	65	94
miR-185*	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	2	0	0	0	2	2	0	0	0
miR-186	22	120	106	280	153	14	2	134	40	274	153	446	358	50	4	1370	1097	1003	1369	872	327	1894	155	269	103	1517	267	93	16	40	230	47	63	63	2	128	7	13	31	10	65	47	2223	165	14	339	7	360	26	2002	6	291	4	234	98	260	11	3
miR-186*	1	1	4	8	13	2	1	1	0	0	2	19	6	3	0	3	3	4	6	12	14	16	0	3	1	9	2	1	0	3	0	0	7	1	4	5	0	0	1	1	9	0	27	2	0	3	0	2	1	7	0	2	0	6	2	0	0	0
miR-187	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	28	4	1	5	15	12	16	0	0	17	9	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	250	1	1	12	3	5	0	120	0	5	0	0	1	3	0	0
miR-187*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
miR-188-3p	0	0	0	5	2	0	0	5	0	10	2	5	2	2	0	14	11	2	31	12	3	15	1	8	1	8	2	1	1	0	0	1	0	3	0	1	0	0	1	0	0	0	4	1	0	5	0	0	0	8	0	2	0	29	1	4	0	0
miR-188-5p	0	1	6	23	9	2	2	5	0	21	6	22	14	14	1	57	53	19	166	59	17	36	6	19	17	52	1	3	0	3	16	15	4	33	1	5	0	0	1	1	15	1	60	5	1	12	4	23	0	56	0	25	1	691	12	7	1	0
miR-18a	5	4	10	6	8	0	1	5	21	3	14	4	2	3	1	2	7	6	7	3	0	2	6	7	3	13	11	7	0	10	9	56	14	126	0	8	3	16	3	6	0	2	63	7	2	12	7	11	3	30	0	8	1	57	9	10	0	0
miR-18a*	0	2	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	1	1	0	1	1	0	0	4	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	49	0	0	4	0	6	0	10	0	2	0	6	9	5	0	2
miR-18b	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0
miR-18b*	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
miR-190	1	4	15	32	3	1	0	4	4	6	17	16	8	2	0	21	86	72	42	21	16	26	17	2	0	78	26	4	0	7	14	1	2	7	2	4	0	2	0	3	7	0	28	0	0	3	0	4	0	46	0	0	0	3	1	3	0	0
miR-190b	0	0	0	0	0	0	0	8	0	4	4	1	1	1	0	1	2	0	3	1	82	5	10	0	1	69	23	15	0	0	3	0	1	0	0	0	0	2	0	0	0	0	10	1	0	0	0	1	0	10	0	1	0	0	0	1	0	0
miR-191	203	376	317	1127	214	32	13	1530	508	2117	276	1299	2774	1078	176	4809	4298	4461	5126	8033	4191	10578	1104	427	300	5484	1592	2044	176	143	2788	1366	126	3867	196	370	142	283	1994	43	1301	654	8314	3001	422	1608	86	4087	67	9267	190	2283	66	7905	1236	2875	622	95
miR-191*	1	0	0	1	1	0	0	3	0	0	1	0	3	2	0	2	0	1	1	4	2	1	2	0	1	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0	0	1	0	3	2	0	0	0
miR-192	134	5	7	211	7	1	71	30	30	24	62	15	25	21	9	39	23	14	14	42	12	44	20	30	1	37	32	42	0	506	9	9	7	840	22	8	2	22	264	27	11	6	5	217	14	43	10	22	0	15	1	11	1	6	10	34	3	4
miR-192*	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	2	0	1	2	0	0	3	1	0	0	3	0	0	0	23	1	0	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	1
miR-193a-3p	25	51	19	105	44	3	2	54	16	34	41	206	53	299	5	76	197	151	726	157	1260	262	54	85	20	758	109	27	42	97	1023	33	84	128	0	53	1	71	10	2	227	8	1643	82	8	127	20	970	7	738	13	961	0	13	832	1693	10	58
miR-193a-5p	9	49	20	36	32	0	1	53	18	35	29	111	131	22	7	164	109	130	404	166	49	132	70	53	63	441	27	17	0	6	20	4	6	6	1	4	4	8	4	2	24	7	511	15	1	11	0	29	8	206	1	36	1	25	72	67	3	0
miR-193b	15	28	24	28	14	0	0	7	11	19	16	54	89	162	32	44	59	99	220	84	347	84	14	43	11	185	16	10	73	35	447	10	29	17	0	42	1	44	8	4	142	12	625	67	2	60	17	505	0	358	3	54	31	21	1612	955	5	280
miR-193b*	1	17	3	17	6	1	1	1	2	10	5	15	35	8	1	24	9	39	146	34	14	25	2	8	5	63	8	0	0	2	17	2	2	2	1	5	2	1	23	1	8	73	161	26	6	6	2	10	24	114	4	13	25	74	53	55	2	0
miR-194	2	0	5	16	2	0	0	1	4	3	6	6	1	9	2	7	17	17	22	7	27	22	3	3	1	55	12	0	0	206	25	7	7	570	2	5	1	3	13	0	2	0	107	37	1	10	2	24	0	109	0	13	1	6	16	21	0	14
miR-194*	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-195	231	166	604	3071	176	26	4	597	69	1409	555	2356	1420	964	20	4293	8741	7144	5165	2549	4732	5064	501	715	24	6837	1777	178	41	131	2864	130	20	165	18	83	1	53	179	82	1231	26	1965	329	13	508	26	1135	0	6704	3	322	9	71	398	769	6	108
miR-195*	0	2	0	4	0	0	0	1	0	6	3	3	5	0	0	5	13	9	12	9	0	14	1	6	0	8	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
miR-196a	41	0	449	702	1	2	0	2	9	241	5	26	1301	5	0	1635	273	607	60	8	2	61	2	1	1	527	4	1	0	8	23	71	12	127	1	32	2	10	30	3	6	2	456	60	5	31	5	16	0	150	0	15	0	23	2	129	3	2
miR-196a*	1	0	4	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-196b	9	28	75	444	185	44	0	19	2	226	601	361	94	5	0	796	1611	230	1466	292	4	761	9	129	0	1391	4	0	0	58	141	4	27	19	2	28	1	6	9	19	42	7	387	37	1	64	4	69	9	412	0	221	0	156	24	90	2	0
miR-197	11	48	17	13	5	1	4	18	20	16	11	122	196	290	10	45	53	299	60	315	265	94	26	16	28	216	74	9	0	12	88	6	7	14	1	48	1	8	34	1	122	3	508	62	6	60	6	196	0	351	3	50	4	47	187	157	4	3
miR-198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-199a-5p	72	201	379	783	207	52	2	153	22	607	431	695	426	85	26	1241	1593	1114	1982	2503	179	4264	131	475	284	1749	274	48	445	81	404	58	39	51	90	42	4	20	47	23	202	76	2124	271	2	32	5	204	4	4582	3	524	31	61	82	201	17	12
miR-199b-3p	136	260	309	448	144	86	3	245	103	725	489	558	268	98	60	423	609	499	268	590	99	385	673	520	37	220	285	209	235	301	270	117	127	91	49	78	4	116	256	113	271	242	225	810	55	249	36	236	4	515	15	205	46	43	106	106	33	24
miR-199b-5p	35	83	99	296	26	20	0	88	4	551	218	291	166	15	20	546	806	907	718	770	99	1353	67	119	1	790	159	40	2	20	222	31	14	32	33	9	0	5	58	7	143	39	1197	88	3	46	2	122	1	2248	0	90	15	7	21	52	5	0
miR-19a	16	43	64	127	19	24	4	81	103	96	79	168	41	139	6	126	665	524	394	178	308	335	214	29	11	838	166	44	1	51	418	144	56	269	4	122	4	52	7	5	144	12	2626	32	11	366	23	493	8	1178	0	345	2	827	249	283	2	0
miR-19a*	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	1	0	0	2	0	0	0	1	8	0	0	1	0	1	0	0	0	0	0	0	10	0	0	0	0	4	0	4	0	1	0	0	0	0	0	0
miR-19b	103	300	234	538	115	41	9	417	292	428	294	915	297	598	35	858	4260	2363	1744	1197	1389	1979	1336	299	176	3681	879	347	10	162	1492	458	125	993	4	285	29	211	45	23	572	53	8370	212	56	1508	75	1727	30	4205	6	2484	6	2762	1349	1040	26	19
miR-19b-1*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	2	0	2	0	0	1	0	0	0	0	2	2	1	0	4	0	2	0	0	1	11	0	0
miR-19b-2*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
miR-200a	0	0	5	0	1	7	0	128	6	112	5	2	9	4	1	4	9	28	30	28	665	148	181	0	3	822	203	138	0	232	697	161	134	237	2	115	1	42	22	0	153	51	5628	123	10	264	22	158	1	2264	2	313	1	0	129	348	3	4
miR-200a*	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	1	1	1	46	7	4	0	0	16	10	11	0	4	65	8	3	12	0	5	0	3	13	0	7	11	267	20	7	52	2	46	5	175	1	26	4	0	27	41	2	1
miR-200b	2	1	11	1	2	11	2	3401	7	705	14	10	18	76	8	20	47	83	114	1050	9179	4292	1086	3	3	2270	1715	2588	0	903	6039	775	242	2395	19	426	11	155	139	10	511	146	21270	667	74	1824	148	2884	6	9553	13	1359	3	2	1020	3607	19	175
miR-200b*	0	0	0	0	0	0	0	27	0	19	0	0	2	1	0	2	1	1	0	4	50	19	27	0	0	45	26	12	0	7	68	6	4	14	0	3	0	2	7	0	8	6	379	8	2	8	0	38	0	218	0	40	0	0	14	28	2	0
miR-200c	1	0	25	4	22	48	8	2742	65	1265	13	3	37	131	18	37	62	201	146	740	16865	3006	855	4	8	6785	1801	2588	0	1217	6780	1048	770	12355	106	1160	35	2322	76	17	816	172	44907	717	194	1327	1026	4154	9	18294	39	6578	7	17	9003	41925	54	11
miR-200c*	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	37	2	1	0	0	2	0	0	0	1	15	0	3	0	1	5	0	6	0	0	6	0	45	0	0	7	3	26	0	10	0	16	0	0	10	66	1	8
miR-202	0	1	0	0	0	0	0	0	0	0	0	1	10	3	2	1	1	4	1	1	0	3	0	4	37	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	3	20	2	0	0	0	0	0	1	0	5	3	2	0	0	0
miR-202*	0	2	0	3	0	2	0	1	5	8	2	23	60	31	16	19	27	39	24	19	10	12	4	12	12	20	9	1	1	0	8	0	0	0	0	0	0	0	6	0	20	0	14	15	1	2	0	5	0	21	0	0	8	0	0	0	0	0
miR-203	2	3	2	1	0	1	0	8	5	15	4	10	31	33	2	3	29	86	66	19	53	22	46	0	0	218	58	0	0	35	486	31	143	20	0	13	8	132	14	0	250	106	14191	251	23	270	31	700	2	1999	4	216	2	3	1622	758	6	0
miR-204	7	57	12	44	24	5	2	66	4	138	85	115	77	60	3	198	1531	1114	647	1112	199	1087	131	18	54	545	156	10	2	0	67	7	0	0	2	0	1	0	7	11	47	3	101	8	0	10	1	65	0	116	1	128	1	4	3	15	0	0
miR-205	0	8	24	1	1	1	1	20	118	3	1	13	32	512	6	3	106	299	222	185	137	4	83	0	0	577	59	21	0	5	22151	768	854	4	3	5921	13	5306	5	53	3738	431	76176	2315	261	7573	929	18199	57	9714	41	11255	24	15	21882	28618	295	0
miR-206	0	0	0	0	0	0	0	0	0	0	2	0	4	0	576	2	1	2	0	2	4	2	23	3	1	6	5	2	0	0	2	0	0	0	0	0	0	2	1	0	0	1	5	3	0	0	0	1	1	1	1	2	1	121	0	0	0	0
miR-208b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
miR-20a	10	10	59	186	12	2	1	25	77	62	118	117	53	28	7	67	129	289	422	77	91	163	59	18	5	843	119	28	0	45	442	119	31	454	0	8	0	48	4	11	45	8	3348	9	2	40	22	151	2	1563	0	117	0	226	145	399	0	2
miR-20a*	3	2	8	31	0	0	0	32	2	31	14	27	23	6	0	59	77	52	47	62	45	164	28	10	0	114	36	23	1	1	63	45	6	105	2	2	0	14	7	1	10	6	194	5	2	15	3	48	0	162	1	10	0	553	10	32	1	0
miR-20b	0	2	4	0	1	0	0	0	9	2	1	3	2	3	1	4	2	17	15	10	0	10	1	0	0	30	3	1	0	0	13	10	8	48	1	0	0	2	2	1	2	1	67	13	0	1	0	13	0	31	0	19	0	7	0	29	0	1
miR-20b*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	1	0	2	0	0	0	3	0	0
miR-21	468	535	2658	11868	9332	309	15	6590	1084	9589	6800	9004	3348	1474	79	17716	25320	119248	79547	14005	15128	16897	2568	2208	86	61936	8967	1465	2	20814	120815	26147	5423	16574	862	23002	78	7970	1047	3860	13355	5271	377693	6432	1148	27539	3894	67635	19	476438	351	26304	1309	2048	52071	107857	228	62
miR-21*	0	1	4	11	12	2	1	22	3	18	3	2	15	56	0	65	60	113	54	41	241	23	2	5	2	29	7	3	0	120	3179	71	150	52	2	437	2	301	4	7	414	15	326	28	13	1496	249	3690	0	461	4	1681	1	15	1187	4016	3	27
miR-210	3	6	4	22	12	1	2	22	1	31	12	17	18	4	2	61	19	27	91	25	12	63	18	10	5	167	22	20	0	26	54	23	22	23	0	49	2	3	3	0	23	83	4266	23	7	26	8	21	20	821	3	480	3	238	104	256	3	0
miR-211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	4	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0
miR-212	0	0	0	4	1	0	0	1	0	1	1	3	1	5	0	2	13	43	19	6	10	11	2	1	0	9	3	0	0	1	48	0	2	1	0	1	0	0	0	0	15	3	152	28	2	37	2	109	0	261	0	9	0	1	15	24	0	1
miR-214	58	125	206	691	105	17	3	77	16	273	363	364	198	106	1	737	1464	616	1747	536	342	737	91	91	43	2222	144	14	861	172	769	25	14	40	8	31	2	23	17	22	194	30	613	56	1	31	3	177	0	1512	4	735	1	29	173	539	4	94
miR-214*	4	7	4	30	1	1	0	5	0	13	38	27	8	6	1	58	135	63	99	27	17	56	1	12	7	107	14	1	1	6	31	1	2	1	0	1	1	1	1	3	13	11	130	7	1	9	0	18	1	213	0	49	4	1	10	16	0	0
miR-215	4	0	0	4	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	5	0	95	0	0	0	37	1	1	0	1	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
miR-216a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	53	0	0	0	0
miR-216b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0
miR-217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	162	0	0	0	0
miR-218	8	53	31	243	63	6	1	181	4	93	185	307	98	141	7	673	1783	759	1203	642	450	393	209	93	6	915	517	90	0	8	68	5	0	6	2	5	1	1	27	9	145	6	177	27	0	34	2	105	1	244	1	79	3	309	32	41	0	0
miR-218-1*	0	1	0	2	2	0	0	0	0	1	0	2	0	0	0	3	7	0	3	7	3	3	1	2	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	1	0	0	0	0	0	0
miR-218-2*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
miR-219-1-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-219-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-219-5p	1	0	1	0	0	0	0	3	0	1	0	0	2	0	0	1	1	0	3	2	4	3	0	0	0	1	0	1	0	2	4	0	1	0	0	2	0	2	0	0	0	0	8	2	0	2	0	1	0	6	0	1	0	3	1	3	0	0
miR-22	14	128	48	312	477	20	2	138	43	116	53	799	521	1957	17	542	531	767	2964	204	1199	131	88	92	126	3463	76	56	88	181	1361	26	93	36	6	306	0	357	18	8	2776	42	1826	83	5	1322	103	2975	15	1722	0	4522	18	53	5569	1452	7	240
miR-22*	0	6	2	29	16	0	0	11	2	9	5	48	15	10	0	48	38	83	238	13	54	3	2	13	0	72	6	3	0	13	122	2	6	6	2	4	0	8	0	4	16	5	234	16	2	48	7	120	0	313	0	46	1	7	86	133	0	0
miR-221	12	62	151	216	224	101	1	206	5	94	106	182	366	67	1	250	235	260	864	310	562	356	95	46	13	1954	117	70	0	277	1097	69	125	53	4	362	1	25	13	13	150	54	8955	99	12	434	37	850	7	2319	9	965	55	52	427	1112	8	0
miR-221*	0	0	1	8	2	1	1	17	1	5	3	9	1	2	0	8	10	16	19	18	7	28	4	3	0	22	5	4	0	4	18	3	1	2	0	1	0	1	0	0	14	0	79	3	1	20	0	19	0	28	0	9	0	0	3	14	1	0
miR-222	10	30	67	245	97	28	0	233	10	153	95	101	131	43	1	345	152	145	458	319	248	1040	43	89	11	1243	62	44	2	92	948	155	71	98	10	165	7	23	19	12	108	27	6035	91	4	449	1	643	1	1568	5	1216	7	38	211	1117	15	0
